,name,50,100,200,300,400,500,600,700,800,900,950
0,slate,0.5833333333333334/250.0/-0.008032128514056224,0.5833333333333334/245.0/-0.01639344262295082,0.5952380952380952/233.0/-0.03017241379310345,0.5909090909090908/214.0/-0.051643192488262914,0.5972222222222222/166.0/-0.10909090909090909,0.5982905982905983/119.5/-0.16455696202531644,0.5980392156862745/88.0/-0.19540229885057472,0.5980392156862745/68.0/-0.2537313432835821,0.603448275862069/44.5/-0.3333333333333333,0.617283950617284/28.5/-0.4909090909090909,0.6349206349206349/12.5/-0.9130434782608695
1,gray,0.5833333333333334/250.0/-0.004016064257028112,0.6111111111111112/244.5/-0.006160164271047228,0.6111111111111112/232.0/-0.012987012987012988,0.6/214.0/-0.023474178403755867,0.6052631578947368/165.5/-0.057750759878419454,0.6111111111111112/117.5/-0.09012875536480687,0.5972222222222222/87.0/-0.13953488372093023,0.6025641025641025/68.0/-0.19402985074626866,0.5972222222222222/43.0/-0.2857142857142857,0.6136363636363636/28.0/-0.4074074074074074,0.6222222222222222/10.5/-0.7894736842105263
2,zinc,0.0/250.0/0.0,0.6666666666666666/244.5/-0.002053388090349076,0.6666666666666666/229.5/-0.006564551422319475,0.6666666666666666/214.0/-0.009389671361502348,0.6666666666666666/165.5/-0.02735562310030395,0.6666666666666666/117.5/-0.03862660944206009,0.6666666666666666/86.5/-0.05263157894736842,0.6666666666666666/66.5/-0.05343511450381679,0.6666666666666666/40.5/-0.0379746835443038,0.6666666666666666/25.5/-0.061224489795918366,0.6666666666666666/10.0/-0.1111111111111111
3,neutral,0.0/250.0/0.0,0.0/245.0/0.0,0.0/229.0/0.0,0.0/212.0/0.0,0.0/163.0/0.0,0.0/115.0/0.0,0.0/82.0/0.0,0.0/64.0/0.0,0.0/38.0/0.0,0.0/23.0/0.0,0.0/10.0/0.0
4,stone,0.16666666666666666/249.5/-0.002012072434607646,0.16666666666666666/244.5/-0.002053388090349076,0.05555555555555556/229.5/-0.006564551422319475,0.06666666666666667/211.5/-0.011876484560570071,0.06666666666666667/163.0/-0.030864197530864196,0.06944444444444443/114.0/-0.05309734513274336,0.0925925925925926/82.5/-0.05521472392638037,0.08333333333333333/64.0/-0.06349206349206349,0.033333333333333326/38.5/-0.06666666666666667,0.06666666666666667/25.5/-0.10204081632653061,0.05555555555555556/10.5/-0.15789473684210525
5,red,0.0/248.0/-0.024291497975708502,0.0/240.0/-0.058577405857740586,0.0/228.0/-0.1145374449339207,0.0/208.5/-0.20963855421686747,0.0/180.5/-0.37604456824512533,0.0/153.5/-0.5606557377049181,0.0/129.0/-0.7109375,0.0/106.5/-0.7440758293838863,0.0/90.0/-0.7078651685393258,0.0/78.0/-0.6363636363636364,0.0/39.5/-0.7662337662337663
6,orange,0.0925925925925926/246.0/-0.036734693877551024,0.09523809523809523/234.0/-0.09012875536480687,0.08928571428571429/212.0/-0.1990521327014218,0.08515815085158152/184.5/-0.37329700272479566,0.07504363001745201/155.5/-0.6181229773462783,0.06828193832599118/135.5/-0.8438661710037175,0.05705705705705705/123.0/-0.9098360655737705,0.04853479853479853/103.0/-0.8921568627450981,0.041666666666666664/86.0/-0.8,0.04245283018867926/71.0/-0.7571428571428571,0.036111111111111115/37.0/-0.8333333333333334
7,amber,0.13333333333333333/245.0/-0.040983606557377046,0.13333333333333333/226.5/-0.12195121951219512,0.13333333333333333/195.5/-0.29562982005141386,0.1276190476190476/164.5/-0.5351681957186545,0.12015503875968991/143.5/-0.7543859649122807,0.1047008547008547/128.0/-0.9212598425196851,0.08925750394944708/111.5/-0.9547511312217195,0.07212475633528265/94.5/-0.9144385026737968,0.06313131313131314/80.0/-0.8354430379746836,0.060317460317460325/67.5/-0.7894736842105263,0.05808080808080809/36.0/-0.9428571428571428
8,yellow,0.15151515151515152/243.0/-0.045454545454545456,0.15254237288135594/224.5/-0.1319910514541387,0.14655172413793102/196.0/-0.29743589743589743,0.1401098901098901/162.0/-0.5652173913043478,0.1331877729257642/135.5/-0.8513011152416357,0.1261061946902655/121.0/-0.9416666666666667,0.11279461279461278/103.0/-0.9705882352941176,0.09848484848484847/84.0/-0.927710843373494,0.08823529411764706/73.5/-0.8206896551724138,0.07894736842105264/65.5/-0.7364341085271318,0.07222222222222223/36.0/-0.8571428571428571
9,lime,0.21739130434782608/242.5/-0.047619047619047616,0.22108843537414966/227.5/-0.10816777041942605,0.22463768115942026/203.0/-0.22772277227722773,0.2276995305164319/171.0/-0.4176470588235294,0.22975517890772132/141.5/-0.6298932384341637,0.23260073260073258/113.0/-0.8125,0.23555555555555552/88.0/-0.8620689655172413,0.2385321100917431/69.5/-0.7956204379562044,0.23958333333333334/58.0/-0.7017543859649122,0.2433862433862434/51.5/-0.6237623762376238,0.24796747967479674/25.5/-0.8367346938775511
