,name,50,100,200,300,400,500,600,700,800,900,950
0,slate,16317180,15857145,14870768,13358561,9741240,6583435,4674921,3359061,1976635,988970,132631
1,gray,16382715,15987958,15067115,13751771,10265519,7041664,4937059,3621201,2042167,1120295,198418
2,zinc,16448250,16053493,15000807,13948120,10592682,7434618,5395035,4144966,2565930,1579035,592139
3,neutral,16448250,16119285,15066597,13948116,10724259,7566195,5395026,4210752,2500134,1513239,657930
4,stone,16448249,16119284,15197668,14078929,11051678,7893356,5722958,4472892,2696484,1841431,789001
5,red,16708338,16704226,16698058,16557477,16281969,15680580,14427686,12131356,10033947,8330525,4524554
6,orange,16775149,16772565,16701354,16628340,16486972,16347926,15357964,12730636,10105874,8138002,4396039
7,amber,16776171,16708551,16639626,16569165,16498468,16096779,14251782,11817737,9584654,7877903,4528643
8,yellow,16710888,16710083,16707722,16638023,16436245,15381256,13273604,10576391,8736014,7421714,4333574
9,lime,16252647,15531211,14285213,12513892,10741301,8702998,6660877,5078031,4153874,3560212,1715717
10,green,15793652,14482663,12318672,8843180,4906624,2278750,1483594,1409085,1467700,1332013,339478
11,emerald,15531509,13761253,11006928,7268279,3462041,1096065,366185,292951,417606,413243,142370
12,teal,15793658,13433841,10090212,6220500,3003583,1357990,889992,1013358,1138265,1265226,274222
13,cyan,15531775,13630206,10875900,6809849,2282478,440020,561586,947344,1400437,1461859,537412
14,sky,15792639,14742270,12248829,8246268,3718648,959977,165063,223649,481669,805486,536393
15,blue,15726335,14412542,12573694,9684477,6333946,3900150,2450411,1920728,1982639,1981066,1516884
16,indigo,15659775,14739455,13095678,10859772,8490232,6514417,5195493,4405450,3616931,3223169,1973067
17,violet,16118783,15591934,14538494,12891645,10980346,9133302,8141549,7153881,5972406,4988309,3018853
18,purple,16446975,15984895,15324671,14202110,12616956,11032055,9647082,8266446,7020968,5774471,3868516
19,fuchsia,16643327,16443647,16109822,15772668,15235577,14239471,12592851,10624175,8788367,7346805,4850766
20,pink,16642808,16574451,16502760,16361684,16020150,15485081,14362487,12458077,10295117,8591427,5244708
21,rose,16773618,16770278,16698835,16622767,16478597,16007006,14753096,12456508,10424889,8917815,4982041
